HintType,Symbol,TextList
FrameEvent,Test,Log=~~
FrameEvent,Attack,"Radius=~~,Angle=~~,StartDistance=~~,AttackPreset=~~,PushVector=~~,IgnoreDefenceType=~~"
FrameEvent,ApplyBuff,ApplyBuff=~~
FrameEvent,ApplyBuffTarget,ApplyBuff=~~
FrameEvent,DeleteBuff,BuffList=~~
FrameEvent,SetDefenceType,DefenceType=~/${1|Empty Guard Parry Evade}~
FrameEvent,Effect,"Path=~~,FramePerSecond=~~,Offset=~~,Angle=~~,ToTarget=~~,UseFlip=~~,Attach=~~,UpdateType=~~"
FrameEvent,SetFrameTag,"EndFrame=~~,Tag=~~,Tag=~~"
FrameEvent,Projectile,"GraphName=~~,DirectionType=~~,ShotInfoUseType=~~,SpawnTargetType=~~"
FrameEvent,Danmaku,Path=~~
FrameEvent,SetAnimationSpeed,Speed=~~
FrameEvent,Movement,"Friction=~~,MaxVelocity=~~,Speed=~~,Velocity=~~"
FrameEvent,ZoomEffect,Scale=~~
FrameEvent,StopUpdate,Time=~~
FrameEvent,TimelineEffect,"Path=~~,Offset=~~,ToTarget=~~,Attach=~~,UpdateType=~~,AngleType=~~"
FrameEvent,SpawnCharacter,"CharacterKey=~~,Offset=~0 0 0~,SearchIdentifier=~~"
FrameEventAndInQuote,Attack IgnoreDefenceType=,"Guard,Parry,Evade"
FrameEventAndInQuote,SetDefenceType DefenceType=,"Empty,Guard,Parry,Evade"
FrameEventAndInQuote,Projectile ShotInfoUseType=,"UseDefault,Overlap,Add"
FrameEventAndInQuote,Projectile SpawnTargetType=,"Self,Target,AITarget"
InQuote,MovementType=,"Empty,RootMotion,GraphPreset,FrameEvent"
InQuote,DirectionType=,"AlywaysRight,Keep,MoveInput,MousePoint,AttackedPoint,MoveDirection,AI,AITarget"
InQuote,DefenceDirectionType=,"Direction,MousePoint"
InQuote,FlipType=,"AlwaysTurnOff,Direction,MousePoint,Keep"
InQuote,RotationType=,"AlwaysTurnOff,Direction,MousePoint,MoveDirection,Keep"
InQuote,DefenceType=,"Empty,Guard,Parry,Evade"
InQuote,IsActionSelection=,"true,false"
InQuote,NormalizedSpeed=,"true,false"
InQuote,Attach=,"true,false"
InQuote,DirectionUpdateOnce=,"true,false"
InQuote,Condition=,"ActionTest,ActionDash,End,AngleBetweenStick,AngleDirection,IsXFlip,IsYFlip,CurrentFrame,AttackSuccess,AttackGuarded,AttackParried,AttackGuardBreak,DefenceSuccess,ParrySuccess,Hit,EvadeSuccess,GuardBroken,CurrentFrame,TargetExists,TargetDistance,ArrivedTarget,CurrentPackageEnd,getStat_,getKey_,getFrameTag_,getTargetFrameTag_,getWeight_,true,false,PackageExecutedTime,GraphExecutedTime,AttackGuardBreakFail,GuardBreakFail"
InQuote,UpdateType=,"ScaledDeltaTime,NoneScaledDeltaTime"
InQuote,ToTarget=,"true,false"
InQuote,AngleType=,"Normal,AttackPoint"
InQuote,SearchIdentifier=,"Player,Enemy,Projectile"
InScope,,"MovementType=~~,MovementGraphPreset=~~,DirectionType=~~,DefenceDirectionType=~~,FlipType=~~,RotationType=~~,MoveScale=~~,IsActionSelection=~~,ApplyBuff=~~,NormalizedSpeed=~~,DefenceType=~~,DefenceAngle=~~,DirectionUpdateOnce=~~,IsActionSelection=~~,FlipTypeUpdateOnce=~~,RotateBySpeed=~~,RotateSpeed=~~"
